All_Info
"22 March 1965:  F-105D Thunderchief; Ser # 62-4233; USAF; 67 TFS, 18 TFW attached to 6234 TFW; Korat"
26 March 1965:  A-1H Skyraider; Ser # 139790; USN; VA-215; USS Hancock
26 March 1965:  A-4E Skyhawk; Ser # 150130; USN; VA-212; USS Hancock
26 March 1965:  F-8D Crusader; Ser # 148644; USN; VF-154; USS Coral Sea
28 March 1965:  C-123B Provider; Ser # 57-6292; USAF; unit unknown; base unknown
29 March 1965:  A-4E Skyhawk; Ser # 150078; USN; VA-155; USS Coral Sea
29 March 1965:  F-8D Crusader; Ser # 148642; USN; VF-154; USS Coral Sea
29 March 1965:  F-8D Crusader; Ser # 148668; USN; VF-154; USS Coral Sea
31 March 1965:  A-1H Skyraider; Ser # 137584; USN; VA-215; USS Hancock
"31 March 1965:  F-100D Super Sabre; Ser # 55-2906; USAF; 613 TFS, 401 TFW on TDY; Da Nang"
2 April 1965:  A-1H Skyraider; Ser # 139721; USN; VA-215; USS Hancock
"3 April 1965:  F-100D Super Sabre; Ser # 55-3625; USAF; 613 TFS, 401 TFW on TDY; Da Nang"
"3 April 1965:  RF-101C Voodoo; Ser # 56-0075; USAF; 45 TRS, 39 AD on TDY; Tan Son Nhut"
3 April 1965:  A-4C Skyhawk; Ser # 148557; USN; VA-216; USS Hancock
"4 April 1965:  A-1H Skyraider; Ser # unknown; USAF; Detachment 10, 1131 SAS; Bien Hoa"
"4 April 1965:  F-105D Thunderchief; Ser # 62-4217; USAF; 44 TFS, 18 TFW on TDY; Korat"
"4 April 1965:  F-105D Thunderchief; Ser # 59-1754; USAF; 354 TFS, 355 TFW attached to 2 AD; Korat"
"4 April 1965:  F-105D Thunderchief; Ser # 59-1764; USAF; 354 TFS, 355 TFW attached to 2 AD; Korat"
"5 April 1965:  F-105D Thunderchief; Ser # 59-1742; USAF; 354 TFS, 355 TFW attached to 6234 TFW; Korat"
7 April 1965:  A-4C Skyhawk; Ser # 148317; USN; VA-153; USS Coral Sea
"7 April 1965:  B-57B Canberra; Ser # 53-3880; USAF; 8 TBS, 405 FW attached to 34 TG; Bien Hoa"
9 April 1965:  F-4B Phantom; Ser # 151425; USN; VF-96; USS Ranger
9 April 1965:  A-4C Skyhawk; Ser # 148481; USN; VA-153; USS Coral Sea
9 April 1965:  F-4B Phantom; Ser # 151403; USN; VF-96; USS Ranger
10 April 1965:  F-100D Super Sabre; Ser # 56-3151; USAF; 401 TFW attached to 23 ABG; Da Nang
11 April 1965:  A-1H Skyraider; Ser # 135226; USN; VA-95; USS Ranger
"15 April 1965:  EA-1E Skyraider; Ser # 139603; USN; Detachment T, VAW-11; USS Yorktown"
"17 April 1965:  F-105D Thunderchief; Ser # 61-0171; USAF; 563 TFS, 23 TFW on TDY; Takhli"
"17 April 1965:  A-1E Skyraider; Ser # 52-133886; USAF; 1 ACS, 34 TG; Bien Hoa"
"18 April 1965:  A-1E Skyraider; Ser # 52-132601; USAF; 1 ACS, 34 TG; Bien Hoa"
20 April 1965:  A-1H Skyraider; Ser # 139818; USN; VA-215; USS Hancock
20 April 1965:  A-4C Skyhawk; Ser # 149507; USN; VA-22; USS Midway
"24 April 1965:  C-130A Hercules; Ser # 57-0475; USAF; 817 TCS, 6315 OG on TDY from Naha; Da Nang"
27 April 1965:  A-1H Skyraider; Ser # 137545; USN; VA-215; USS Hancock
"29 April 1965:  RF-101C Voodoo; Ser # 56-0190; USAF; 15 TRS, 18 TFW on TDY; Udorn"
"6 May 1965:  RF-101C Voodoo; Ser # 56-0045; USAF; 45 TRS, 39 AD on TDY; Tan Son Nhut"
"7 May 1965:  F-105D Thunderchief; Ser # 59-1718; USAF; 354 TFS, 355 TFW attached to 6234 TFW; Korat"
8 May 1965:  F-8D Crusader; Ser # 148637; USN; VF-111; USS Midway
"8 May 1965:  RF-8A Crusader; Ser # 145620; USN; Detachment A, VFP-63; USS Midway"
9 May 1965:  F-8D Crusader; Ser # 148673; USN; VF-154; USS Coral Sea
"9 May 1965:  F-105D Thunderchief; Ser # 62-4408; USAF; 563 TFS, 23 TFW on TDY; Takhli"
"9 May 1965:  O-1F Bird Dog; Ser # 57-2896; USAF; 19 TASS, 34 TG; Bien Hoa"
11 May 1965:  A-4C Skyhawk; Ser # 148489; USN; VA-22; USS Midway
"12 May 1965:  O-1F Bird Dog; Ser # 57-2781; USAF; 19 TASS, 34 TG; Bien Hoa"
"12 May 1965:  F-105D Thunderchief; Ser # 61-0125; USAF; 563 TFS, 23 TFW on TDY; Takhli"
12 May 1965:  C-123B Provider; Ser # 55-4516; USAF; 315 ACG; Tan Son Nhut
"15 May 1965:  F-105D Thunderchief; Ser # 62-4374; USAF; 563 TFS, 23 TFW on TDY; Takhli"
16 May 1965:  A-1E Skyraider; Ser # 52-133901; USAF; 34 TG; Bien Hoa
"16 May 1965:  B-57B Canberra; Ser # 52-1568, 53-3867, 53-3871, 53-3873, 53-3893, 53-3904, 53-3913, 53-3915, 53-3930, 53-3937; USAF; 8/13 TBS, 405 FW attached to 34 TG; Bien Hoa"
16 May 1965:  F-8E Crusader; Ser # 150931; USN; VF-162; USS Oriskany
"17 May 1965:  F-105D Thunderchief; Ser # 62-4222; USAF; 44 or 67 TFS, 18 TFW attached to 6234 TFW; Korat"
"18 May 1965:  F-105D Thunderchief; Ser # 59-1753; USAF; 563 TFS, 23 TFW on TDY; Takhli"
"21 May 1965:  A-4B Skyhawk; Ser # 144938; USN; Detachment Q, VA-113; USS Bennington"
"23 May 1965:  F-105D Thunderchief; Ser # 61-0054; USAF; 354 TFS, 355 TFW attached to 6234 TFW; Korat"
"25 May 1965:  A-3B Skywarrior; Ser # 138947; USN; Detachment G, VAH-4; USS Oriskany"
27 May 1965:  F-8D Crusader; Ser # 148706; USN; VF-111; USS Midway
"31 May 1965:  F-105D Thunderchief; Ser # 62-4381; USAF; probably 563 TFS, 23 TFW attached to 6441 TFW(P); Takhli"
"1 June 1965:  RF-8A Crusader; Ser # 146881; USN; Detachment A, VFP-63; USS Midway"
"1 June 1965:  RF-8A Crusader; Ser # 146852; USN; Detachment E, VFP-63; USS Bon Homme Richard"
2 June 1965:  A-4E Skyhawk; Ser # 151144; USN; VA-23; USS Midway
2 June 1965:  A-4E Skyhawk; Ser # 151161; USN; VA-23; USS Midway
"2 June 1965:  O-1B Bird Dog; Ser # 133810; USMC; VMO-2, MAG-16; Da Nang"
"2 June 1965:  EA-1F Skyraider; Ser # 132540; USN; Detachment A, VAW-13; USS Midway"
"2 June 1965:  HH-43F Huskie; Ser # 63-9713; USAF; Detachment 5, PARC; Nakhon Phanom"
3 June 1965:  A-4C Skyhawk; Ser # 148577; USN; VA-22; USS Midway
"5 June 1965:  F-105D Thunderchief; Ser # 61-0133; USAF; 563 TFS, 23 TFW attached to 6441 TFW(P); Takhli"
"8 June 1965:  F-105D Thunderchief; Ser # 62-4290; USAF; 354 TFS, 355 TFW attached to 6234 TFW; Korat"
"8 June 1965:  B-57B Canberra; Ser # 53-3882; USAF; 13 TBS, 405 FW attached to 33 TG; Tan Son Nhut"
"9 June 1965:  F-4C Phantom; Ser # 64-0674; USAF; 45 TFS, 15 TFW on TDY; Ubon"
10 June 1965:  A-1H Skyraider; Ser # 137521; USN; VA-25; USS Midway
"11 June 1965:  C-123B Provider; Ser # 56-4379; USAF; 310 ACS, 315 ACG; Tan Son Nhut"
"12 June 1965:  F-100D Super Sabre; Ser # 55-3702; USAF; 615 TFS, 401 TFW on TDY; Da Nang"
"13 June 1965:  F-100D Super Sabre; Ser # 55-3600; USAF; 416 TFS, 3 TFW on TDY; Da Nang"
"14 June 1965:  F-105D Thunderchief; Ser # 62-4220; USAF; 44 TFS, 18 TFW attached to 6234 TFW; Korat"
16 June 1965:  A-1E Skyraider; Ser # 52-135040; USAF; 34 TG; Bien Hoa
16 June 1965:  A-1E Skyraider; Ser # 52-133889; USAF; 34 TG; Bien Hoa
"18 June 1965:  B-52F Stratofortress; Ser # 57-0047 and 57-0179; USAF; 441 BS, 7 BW attached to 3960 SW; Andersen AFB, Guam"
"19 June 1965:  B-57B Canberra; Ser # 53-3910; USAF; 8 TBS, 405 FW attached to 33 TG; Tan Son Nhut"
"20 June 1965:  F-4C Phantom; Ser # 64-0685; USAF; 45 TFS, 15 TFW on TDY; Ubon"
"22 June 1965:  F-100D Super Sabre; Ser # 56-3340; USAF; 615 TFS, 401 TFW on TDY; Da Nang"
"23 June 1965:  F-105D Thunderchief; Ser # 62-4319; USAF; 357 TFS, 355 TFW attached to 6234 TFW; Korat"
24 June 1965:  A-1H Skyraider; Ser # 137523; USN; VA-25; USS Midway
25 June 1965:  A-4C Skyhawk; Ser # 149574; USN; VA-153; USS Coral Sea
"27 June 1965:  C-123B Provider; Ser # unknown; USAF; 310 ACS, 315 ACG; Tan Son Nhut detached to Nha Trang"
"29 June 1965:  RF-101C Voodoo; Ser # 56-0040; USAF; 15 TRS, 18 TFW on TDY; Udorn"
"29 June 1965:  B-57B Canberra; Ser # 53-3895; USAF; 8 TBS, 405 FW attached to 2 AD; Da Nang"
"29 June 1965:  F-104C Starfighter; Ser # 56-0937; USAF; 476 TFS, 479 TFW attached to 6252 TFW; Da Nang"
30 June 1965:  A-1H Skyraider; Ser # 139708; USN; VA-152; USS Oriskany
"30 June 1965:  B-57B Canberra; Ser # 52-1589; USAF; 8 TBS, 405 FW attached to 2 AD; Da Nang"
30 June 1965:  F-8E Crusader; Ser # 150657; USN; VF-194; USS Bon Homme Richard
"30 June 1965:  O-1F Bird Dog; Ser # 55-4649; USAF; 19 TASS, 34 TG; Bien Hoa"
